# Experiment IPTS-27050 Run 189228
# Run title: Z_ReO4_D2O_0.1V-189228-1.
# Run start time: 2021-10-07T14:39:33.169430667
# Reduction time: Thu Oct  7 11:04:22 2021
# Mantid version: 6.2.20210929.2323
# Scaling factor: 1.0
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B         PrimaryFrac 
# 189228    188981    1.21817        13.2996        16.7006      0.0079       0.0100       1.0          0.0          1.0         
# 189229    188982    1.2181         10.6856        14.0865      0.0094       0.0125       1.0          0.0          1.0         
# 189230    188983    1.2181         8.03957        11.4405      0.0116       0.0166       1.0252       2.1093       1.0         
# 189231    188984    1.2181         5.34255        8.74352      0.0152       0.0250       7.0259       8.6478       1.0         
# 189232    188985    1.2181         2.54954        5.9505       0.0224       0.0523       20.238       0.0003       1.0         
# 189233    188985    2.38595        2.54954        5.9505       0.0439       0.1026       65.737       0.0019       1.0         
# 189234    188985    4.70496        2.54954        5.9505       0.0866       0.2023       247.76       0.0099       1.0         
# dQ0[1/Angstrom] = 0.0004
# dQ/Q = 0.023
# Q[1/Angstrom] R delta_R Precision
0.00812260810985 0.682134117364 0.0504289103592 0.000586819986527
0.00828506027205 0.763905399944 0.0510280630707 0.000590556386257
0.00845076147749 0.693071217371 0.0446440757877 0.000594367513982
0.00861977670704 0.65760971425 0.0405479038229 0.000598254864262
0.00879217224118 0.746581447013 0.0408677879777 0.000602219961547
0.008968015686 0.711267750027 0.0366492722088 0.000606264360778
0.00914737599972 0.697616079483 0.0340503528139 0.000610389647994
0.00933032351972 0.698277419976 0.0321732303161 0.000614597440953
0.00951692999011 0.700384034908 0.0300519709362 0.000618889389773
0.00970726858991 0.669775467862 0.0251545970495 0.000623267177568
0.00990141396171 0.647125015322 0.0227626938007 0.000627732521119
0.0100994422409 0.677944016986 0.0486260205899 0.000632287171542
0.0103014310858 0.668340883648 0.0451605303728 0.000636932914973
0.0105074597075 0.736539474591 0.0469221024137 0.000641671573272
0.0107176089016 0.655384235408 0.0402265083217 0.000646505004737
0.0109319610797 0.708268425622 0.039932045238 0.000651435104832
0.0111506003013 0.695293954092 0.0370937031301 0.000656463806929
0.0113736123073 0.750944502025 0.0371336485785 0.000661593083067
0.0116010845534 0.654803436353 0.0323777501695 0.000666824944729
0.0118331062445 0.675072110292 0.0267450273212 0.000672161443623
0.0120697683694 0.652846668974 0.0250249990583 0.000677604672496
0.0123111637368 0.626751186884 0.0449699513965 0.000683156765946
0.0125573870115 0.629156882328 0.0422982406574 0.000688819901265
0.0128085347517 0.658313279843 0.0426549615151 0.00069459629929
0.0130647054468 0.685116724878 0.0398417989968 0.000700488225276
0.0133259995557 0.617044876421 0.0359468905033 0.000706497989781
0.0135925195468 0.628818884993 0.0342240802546 0.000712627949577
0.0138643699378 0.638552968306 0.0331378047325 0.000718880508568
0.0141416573365 0.665127379776 0.0331995145661 0.00072525811874
0.0144244904832 0.679244593099 0.0316573740596 0.000731763281115
0.0147129802929 0.443123359637 0.0239984931919 0.000738398546737
0.0150072398988 0.339208772763 0.0199634185771 0.000745166517672
0.0153073846967 0.27421692872 0.0168343095998 0.000752069848025
0.0156135323907 0.221731681704 0.00943684067433 0.000759111244986
0.0159258030385 0.206349921098 0.00870564201511 0.000766293469885
0.0162443190993 0.190516876667 0.0107236826567 0.000773619339283
0.0165692054812 0.188801172378 0.00998809697688 0.000781091726069
0.0169005895909 0.163051076274 0.0088156380096 0.00078871356059
0.0172386013827 0.145790032188 0.00795151537409 0.000796487831802
0.0175833734103 0.112527344102 0.00632504022838 0.000804417588438
0.0179350408785 0.113709476648 0.00619227814526 0.000812505940207
0.0182937416961 0.103548831896 0.00573307628647 0.000820756059011
0.01865961653 0.077878596232 0.0046724796382 0.000829171180191
0.0190328088606 0.0645475161111 0.00403538736546 0.000837754603795
0.0194134650379 0.051330689061 0.00351290184759 0.000846509695871
0.0198017343386 0.0431535829696 0.00309777761864 0.000855439889788
0.0201977690254 0.0307799894289 0.00249824890324 0.000864548687584
0.0206017244059 0.0175516594804 0.001819509751 0.000873839661336
0.021013758894 0.0119982141356 0.00147445187818 0.000883316454562
0.0214340340719 0.00490827422719 0.000871372841668 0.000892982783653
0.0218627147533 0.00338090694288 0.000746868559889 0.000902842439327
0.0222999690484 0.00180013274415 0.000499239395805 0.000912899288113
0.0227459684294 0.00145110424725 0.000160372255137 0.000923157273875
0.0232008877979 0.00325636449404 0.000234717406475 0.000933620419353
0.0236649055539 0.00589907590137 0.000314348091135 0.00094429282774
0.024138203665 0.00925776871171 0.000389599776449 0.000955178684295
0.0246209677383 0.0133319586327 0.000500983665215 0.000966282257981
0.0251133870931 0.0154655184755 0.000531597782118 0.00097760790314
0.0256156548349 0.0175372853283 0.000556209966066 0.000989160061203
0.0261279679316 0.0182106366267 0.000563268986774 0.00100094326243
0.0266505272902 0.0196681273092 0.000581328573474 0.00101296212768
0.027183537836 0.0198303825012 0.000591781975799 0.00102522137023
0.0277272085928 0.0165507387735 0.000507249786737 0.00103772579763
0.0282817527646 0.0132459853249 0.000457888460318 0.00105048031359
