# Experiment IPTS-27050 Run 189237
# Run title: Z_ReO4_D2O_0.6V-189237-1.
# Run start time: 2021-10-07T15:42:11.765522667
# Reduction time: Thu Oct  7 12:08:12 2021
# Mantid version: 6.2.20210929.2323
# Scaling factor: 1.0
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B         PrimaryFrac 
# 189237    188981    1.21945        13.2996        16.7006      0.0080       0.0100       1.0          0.0          1.0         
# 189238    188982    1.21938        10.6856        14.0865      0.0094       0.0125       1.0          0.0          1.0         
# 189239    188983    1.21938        8.03957        11.4405      0.0116       0.0166       1.0252       2.1093       1.0         
# 189240    188984    1.21945        5.34255        8.74352      0.0152       0.0250       7.0259       8.6478       1.0         
# 189241    188985    1.21945        2.54954        5.9505       0.0224       0.0524       20.238       0.0003       1.0         
# 189242    188985    2.3861         2.54954        5.9505       0.0439       0.1026       65.737       0.0019       1.0         
# 189243    188985    4.70481        2.54954        5.9505       0.0866       0.2023       247.76       0.0099       1.0         
# dQ0[1/Angstrom] = 0.0004
# dQ/Q = 0.023
# Q[1/Angstrom] R delta_R Precision
0.00812260810985 0.701936340322 0.0506618544195 0.000586819986527
0.00828506027205 0.712968712834 0.0489725072978 0.000590556386257
0.00845076147749 0.638247778195 0.0421175216425 0.000594367513982
0.00861977670704 0.604080404829 0.0379539527253 0.000598254864262
0.00879217224118 0.671772043171 0.0380434740689 0.000602219961547
0.008968015686 0.675195264288 0.0349889650869 0.000606264360778
0.00914737599972 0.635117133292 0.0320432191869 0.000610389647994
0.00933032351972 0.667934021653 0.0309679723675 0.000614597440953
0.00951692999011 0.620557395943 0.0276912139306 0.000618889389773
0.00970726858991 0.651926966206 0.0241545774774 0.000623267177568
0.00990141396171 0.640292551462 0.0221726893164 0.000627732521119
0.0100994422409 0.659803591213 0.0477066166164 0.000632287171542
0.0103014310858 0.636401797534 0.0430124173353 0.000636932914973
0.0105074597075 0.703173230847 0.0442769976261 0.000641671573272
0.0107176089016 0.668379444057 0.0403841585616 0.000646505004737
0.0109319610797 0.637942974356 0.0375950862889 0.000651435104832
0.0111506003013 0.655405950035 0.0358360404063 0.000656463806929
0.0113736123073 0.670515225668 0.0343373145485 0.000661593083067
0.0116010845534 0.686943040568 0.032611170497 0.000666824944729
0.0118331062445 0.640924851084 0.0252707351542 0.000672161443623
0.0120697683694 0.622838604442 0.0236452819547 0.000677604672496
0.0123111637368 0.608109630583 0.0407912949581 0.000683156765946
0.0125573870115 0.673329849262 0.0406520942891 0.000688819901265
0.0128085347517 0.704581460724 0.0410029365432 0.00069459629929
0.0130647054468 0.613445256367 0.0351687281598 0.000700488225276
0.0133259995557 0.675672692052 0.0351743891689 0.000706497989781
0.0135925195468 0.646214826576 0.0321765442663 0.000712627949577
0.0138643699378 0.653002487614 0.0312695856134 0.000718880508568
0.0141416573365 0.688102957982 0.0314666481949 0.00072525811874
0.0144244904832 0.649145989863 0.0289020851332 0.000731763281115
0.0147129802929 0.467962265457 0.0229145294198 0.000738398546737
0.0150072398988 0.288229249732 0.0171594934121 0.000745166517672
0.0153073846967 0.204933063205 0.0133960235679 0.000752069848025
0.0156135323907 0.167541440587 0.00687354394203 0.000759111244986
0.0159258030385 0.127748772026 0.00561193457066 0.000766293469885
0.0162443190993 0.0920114906222 0.00555843043413 0.000773619339283
0.0165692054812 0.0729914464176 0.00473850957938 0.000781091726069
0.0169005895909 0.0420867411455 0.00332968947738 0.00078871356059
0.0172386013827 0.0236077798218 0.00233032098491 0.000796487831802
0.0175833734103 0.0110018442153 0.0014593626622 0.000804417588438
0.0179350408785 0.0100037669207 0.00139200091015 0.000812505940207
0.0182937416961 0.0118539795803 0.00145942219638 0.000820756059011
0.01865961653 0.0160120009412 0.00160725434448 0.000829171180191
0.0190328088606 0.0238043092204 0.00183707059971 0.000837754603795
0.0194134650379 0.0278534626058 0.00196483321912 0.000846509695871
0.0198017343386 0.0355097543367 0.00218906698266 0.000855439889788
0.0201977690254 0.0339801799482 0.00204130159619 0.000864548687584
0.0206017244059 0.0354564085602 0.00198493986207 0.000873839661336
0.021013758894 0.0345129704689 0.00194006921682 0.000883316454562
0.0214340340719 0.0274895253767 0.00163213095037 0.000892982783653
0.0218627147533 0.0227247491702 0.00144680806322 0.000902842439327
0.0222999690484 0.0178021643723 0.00123672752734 0.000912899288113
0.0227459684294 0.0106687227996 0.000384221957239 0.000923157273875
0.0232008877979 0.00602443537156 0.000268902832908 0.000933620419353
0.0236649055539 0.00208036419502 0.000153846733074 0.00094429282774
0.024138203665 0.000988518182823 0.00010648158216 0.000955178684295
0.0246209677383 0.00134197121196 0.000123842162056 0.000966282257981
0.0251133870931 0.00310162635312 0.000184557961407 0.00097760790314
0.0256156548349 0.00591135998231 0.000250517271023 0.000989160061203
0.0261279679316 0.00852529507828 0.000306288145638 0.00100094326243
0.0266505272902 0.0106755778016 0.000348408766129 0.00101296212768
0.027183537836 0.0122790458412 0.00038022665358 0.00102522137023
0.0277272085928 0.0112517614558 0.000343396013001 0.00103772579763
0.0282817527646 0.00875521256184 0.000304538638922 0.00105048031359
0.0288473878199 0.00615667713437 0.000240707443798 0.00106348991986
0.0294243355763 0.00399985854093 0.000192927507907 0.00107675971826
0.0300128222878 0.00200202498338 0.000131283870205 0.00109029491262
0.0306130787336 0.000836520305182 8.07320246648e-05 0.00110410081087
0.0312253403083 0.000663296737434 7.41566736237e-05 0.00111818282709
0.0318498471144 0.00135581720883 0.000105620555781 0.00113254648363
0.0324868440567 0.0027031000274 0.000156768062045 0.0011471974133
0.0331365809379 0.0033658158608 0.000177458916793 0.00116214136157
0.0337993125566 0.00417464569001 0.000197375750091 0.0011773841888
0.0344752988077 0.00382751431184 0.000181394574814 0.00119293187258
0.0351648047839 0.00314116470289 0.000160858222723 0.00120879051003
0.0358681008796 0.00219649531923 0.00013194906566 0.00122496632023
0.0365854628972 0.00115499796955 9.63638303057e-05 0.00124146564664
0.0373171721551 0.000432931072657 5.74456917517e-05 0.00125829495957
0.0380635155982 0.000281201113115 4.81449088366e-05 0.00127546085876
0.0388247859102 0.000589571075303 6.36804176364e-05 0.00129297007593
0.0396012816284 0.000900317572232 7.96310763932e-05 0.00131082947745
0.040393307261 0.00122888899072 9.4325537697e-05 0.001329046067
0.0412011734062 0.0011880226583 9.17127537479e-05 0.00134762698834
0.0420251968743 0.000998975641302 8.29332308003e-05 0.00136657952811
0.0428657008118 0.000669955587091 7.03635668151e-05 0.00138591111867
0.043723014828 0.000331337769006 4.78188166852e-05 0.00140562934104
0.0445974751246 8.12682301863e-05 1.13460586535e-05 0.00142574192787
0.0454894246271 7.42948570984e-05 1.10198379307e-05 0.00144625676642
0.0463992131196 0.000198751702591 1.61477707324e-05 0.00146718190175
0.047327197382 0.000277189675709 1.79596972938e-05 0.00148852553979
0.0482737413296 0.000252225461111 1.67210887552e-05 0.00151029605058
0.0492392161562 0.000208819298691 1.52075066319e-05 0.00153250197159
0.0502240004794 0.000110632337377 1.08949446213e-05 0.00155515201103
0.051228480489 7.39311237057e-05 9.81332163656e-06 0.00157825505125
0.0522530500987 6.33545203798e-05 9.34659448188e-06 0.00160182015227
0.0532981111007 6.71923421453e-05 9.59887447025e-06 0.00162585655532
0.0543640733227 4.95929961152e-05 7.54649232271e-06 0.00165037368642
0.0554513547892 3.93290531524e-05 7.69049901634e-06 0.00167538116015
0.056560381885 6.50322498766e-05 8.54905634729e-06 0.00170088878335
0.0576915895227 0.000108745312948 1.10651886054e-05 0.00172690655902
0.0588454213131 0.000120735921026 1.16479516252e-05 0.0017534446902
0.0600223297394 0.000121832148144 1.13199064803e-05 0.00178051358401
0.0612227763342 6.3321037287e-05 8.15911127995e-06 0.00180812385569
0.0624472318608 7.21621294441e-05 8.76066402994e-06 0.0018362863328
0.0636961764981 0.000110342276825 1.10716609558e-05 0.00186501205946
0.064970100028 0.000154144318665 1.33087103787e-05 0.00189431230064
0.0662695020286 0.000182895893595 1.40338517802e-05 0.00192419854666
0.0675948920692 0.000135423220325 1.23436643079e-05 0.00195468251759
0.0689467899105 8.07082320031e-05 9.31974146201e-06 0.00198577616794
0.0703257257087 0.000103831141039 1.00890718496e-05 0.0020174916913
0.0717322402229 0.000134084927726 1.14423433258e-05 0.00204984152513
0.0731668850274 0.000168796804429 1.25784530745e-05 0.00208283835563
0.0746302227279 0.000148216872473 1.17335757207e-05 0.00211649512274
0.0761228271825 0.000102070045189 9.33546088932e-06 0.0021508250252
0.0776452837261 8.93713282258e-05 8.84803854727e-06 0.0021858415257
0.0791981894007 0.000111954137351 1.01655136832e-05 0.00222155835622
0.0807821531887 0.000104925985863 9.71848492221e-06 0.00225798952334
0.0823977962524 7.19572386333e-05 8.20360262355e-06 0.00229514931381
0.0840457521775 5.14985660634e-05 6.87252898305e-06 0.00233305230008
0.085726667221 3.69983905182e-05 6.18673175439e-06 0.00237171334608
0.0874412005655 5.00198316275e-05 6.69820830894e-06 0.00241114761301
0.0891900245768 2.79487896283e-05 2.5936034594e-06 0.00245137056527
0.0909738250683 1.51435257897e-05 2.03910746403e-06 0.00249239797657
0.0927933015697 1.15968816298e-05 1.82046247083e-06 0.0025342459361
0.0946491676011 8.48837393986e-06 1.90563517079e-06 0.00257693085482
0.0965421509531 6.78788406634e-06 1.68208825415e-06 0.00262046947192
0.0984729939722 3.26387890418e-06 1.33508369347e-06 0.00266487886136
0.104500328987 8.37933834455e-06 1.68096498478e-06 0.00280350756671
0.106590335567 6.90432723723e-06 1.4925544944e-06 0.00285157771804
0.108722142278 8.35640401368e-06 1.65835635324e-06 0.0029006092724
0.110896585124 1.16933564376e-05 1.7605024526e-06 0.00295062145785
0.113114516826 1.68952419259e-05 1.95992010437e-06 0.00300163388701
0.115376807163 1.65467505482e-05 1.89272193394e-06 0.00305366656475
0.117684343306 1.81111728881e-05 1.93391356897e-06 0.00310673989604
0.120038030172 2.06603425443e-05 2.07879271812e-06 0.00316087469396
0.122438790776 1.38269876468e-05 1.8635548108e-06 0.00321609218784
0.124887566591 1.43940680084e-05 1.7972744643e-06 0.0032724140316
0.127385317923 1.48493109586e-05 1.8366029758e-06 0.00332986231223
0.129933024281 1.02528250599e-05 1.73685420923e-06 0.00338845955847
0.132531684767 9.48410364203e-06 1.66360028655e-06 0.00344822874964
0.135182318462 7.69852288002e-06 1.53607871816e-06 0.00350919332464
0.137885964832 1.57999628357e-06 1.3478207491e-06 0.00357137719113
0.140643684128 3.88826595789e-06 1.2558069656e-06 0.00363480473495
0.149252202746 2.62467037755e-06 1.13603391455e-06 0.00383280066317
0.174872743483 3.08305675589e-06 1.2229861646e-06 0.00442207310011
0.178370198353 2.62289091611e-06 1.2655923145e-06 0.00450251456211
0.18193760232 2.05277830615e-06 1.27506810185e-06 0.00458456485336
0.185576354366 3.18912343056e-06 1.24460151123e-06 0.00466825615042
